geo,time,education,emp_high_tech,gdp,inv,migration,pop,pop_dens,tourists,unemp,wages
BE21,2014,38.1,5.3,37600.0,18554.6,3.3,1170.2,648.0,933049.0,6.1,36830.7
BE21,2015,37.6,4.8,39100.0,18677.1,4.9,1172.5,652.0,983452.0,6.1,37615.4
BE21,2016,34.9,5.0,39900.0,22079.0,3.5,1174.7,655.9,922360.0,6.1,38309.9
BE21,2017,38.2,5.5,40900.0,21486.8,4.3,1171.2,657.7,981474.0,5.9,39817.7
BE21,2018,40.0,5.8,41900.0,22028.8,4.6,1177.2,661.6,1097719.0,4.3,41384.0
BE21,2019,40.0,6.4,43400.0,22698.7,5.3,1180.5,665.8,1124483.0,3.6,43190.2
BE22,2014,31.1,2.9,26600.0,5334.2,2.2,568.7,360.0,388817.0,5.6,13278.0
BE22,2015,32.1,3.1,26900.0,5456.5,5.5,567.5,361.9,478411.0,6.0,13154.2
BE22,2016,32.9,2.8,27400.0,5707.1,2.0,565.7,363.6,484570.0,4.8,13402.6
BE22,2017,35.4,3.0,28300.0,6498.5,3.0,561.8,364.5,505342.0,4.1,13892.4
BE22,2018,35.8,2.5,29100.0,7119.6,3.6,560.8,365.8,544359.0,3.8,14432.4
BE22,2019,36.7,3.5,29700.0,8188.8,5.4,559.5,367.5,545819.0,3.6,14936.4
BE23,2014,36.7,4.1,29100.0,11773.2,4.1,954.4,500.4,518353.0,4.3,24032.5
BE23,2015,37.5,3.9,30400.0,12341.9,6.3,957.2,503.4,540970.0,4.4,24673.9
BE23,2016,39.6,4.0,31000.0,12809.4,5.7,960.0,506.7,505658.0,4.2,25418.5
BE23,2017,42.6,4.6,32000.0,13582.6,5.0,958.0,505.8,562528.0,3.4,26425.6
BE23,2018,42.8,4.4,32600.0,14312.6,6.5,962.3,508.8,626095.0,2.7,27576.3
BE23,2019,41.5,5.0,33500.0,15575.6,6.8,966.6,512.3,678142.0,2.9,28623.9
BE24,2014,45.8,6.1,34500.0,10116.4,4.0,716.1,528.8,649340.0,5.0,22055.3
BE24,2015,44.7,6.0,35800.0,10258.0,6.4,718.0,532.2,667903.0,5.1,22413.2
BE24,2016,47.3,6.5,36700.0,11652.6,6.1,720.7,536.0,573966.0,4.8,22850.8
BE24,2017,50.7,7.0,37600.0,11460.5,6.1,721.4,536.7,639653.0,4.7,23573.3
BE24,2018,48.7,6.5,38700.0,11917.1,6.7,725.2,540.5,707971.0,3.6,24420.9
BE24,2019,49.2,6.5,39900.0,13615.1,7.8,729.4,544.7,693988.0,3.6,25470.9
BE25,2014,33.0,2.3,31200.0,10719.1,3.4,742.4,377.3,1541168.0,4.2,19700.4
BE25,2015,32.8,2.4,32000.0,10361.8,4.4,741.4,378.3,1683514.0,4.2,19889.7
BE25,2016,35.2,2.7,32800.0,11831.8,4.3,739.8,379.5,1529706.0,3.7,20456.3
BE25,2017,37.4,2.8,33700.0,12182.6,5.1,735.2,377.9,1684250.0,3.2,21170.9
BE25,2018,37.3,2.6,34500.0,13217.1,5.6,735.6,379.2,1833058.0,2.6,21993.2
BE25,2019,37.3,2.8,35700.0,14247.2,6.1,735.1,380.8,1832074.0,2.5,22714.4
BE31,2014,51.9,8.2,36200.0,5057.6,5.9,254.2,360.2,134680.0,8.8,7319.3
BE31,2015,54.1,8.7,36900.0,7282.6,7.8,255.5,363.0,148406.0,7.8,7497.5
BE31,2016,52.2,7.2,38600.0,4882.0,4.1,256.5,365.5,119297.0,7.9,7681.9
BE31,2017,57.1,6.7,40200.0,5214.4,3.9,256.5,365.2,132371.0,7.5,7940.8
BE31,2018,58.4,7.8,44300.0,5485.0,6.6,257.1,367.3,141227.0,6.9,8325.2
BE31,2019,55.7,8.6,49600.0,6156.6,5.6,257.9,369.7,156083.0,5.5,8626.4
BE32,2014,28.1,3.5,20600.0,6712.8,2.6,865.0,353.9,246571.0,14.4,16921.4
BE32,2015,27.2,3.6,21100.0,6972.3,3.5,864.2,354.8,281077.0,13.3,17106.0
BE32,2016,30.0,3.4,21200.0,6346.6,1.6,863.5,355.4,264290.0,11.8,17249.0
BE32,2017,31.1,3.2,21800.0,7008.5,2.1,858.8,353.4,280762.0,11.4,18091.6
BE32,2018,31.4,4.3,22500.0,7273.1,3.0,858.2,353.9,284840.0,9.9,18239.1
BE32,2019,32.0,4.1,22800.0,7378.3,4.1,857.9,354.8,286786.0,8.6,18734.1
BE33,2014,33.1,3.4,23200.0,5829.4,2.2,712.6,285.5,383620.0,12.3,15496.9
BE33,2015,33.9,4.0,23600.0,5898.0,4.4,712.2,286.5,435073.0,12.8,15429.9
BE33,2016,33.4,2.6,23900.0,6242.5,2.1,711.5,287.4,431139.0,11.1,15737.9
BE33,2017,35.6,2.4,24600.0,6711.0,2.2,707.2,288.5,454223.0,10.5,16369.5
BE33,2018,35.9,3.5,25300.0,6909.0,1.9,707.6,289.0,487598.0,8.2,16920.7
BE33,2019,37.5,3.7,26100.0,7168.1,3.4,706.3,289.7,468605.0,6.7,17555.7
BE34,2014,35.1,3.0,20200.0,1470.5,4.9,180.8,62.9,267484.0,8.5,3350.7
BE34,2015,36.9,2.8,20700.0,1570.8,8.9,182.2,63.5,324130.0,9.3,3417.0
BE34,2016,35.1,2.3,20700.0,1604.8,3.9,183.0,64.0,305934.0,7.8,3490.8
BE34,2017,37.1,3.5,21300.0,1655.9,0.3,183.0,63.8,314075.0,6.7,3612.3
BE34,2018,38.8,2.9,21800.0,1778.9,5.2,183.7,64.1,365264.0,5.4,3732.0
BE34,2019,40.7,2.7,22500.0,1747.4,8.3,184.9,64.6,386318.0,5.4,3864.6
BE35,2014,36.7,3.5,22300.0,2638.0,4.9,317.5,133.4,135621.0,8.9,6530.3
BE35,2015,35.3,3.5,22600.0,2853.2,6.6,318.4,134.2,157517.0,10.9,6528.8
BE35,2016,34.9,4.8,22900.0,2753.3,4.1,318.6,134.9,152152.0,9.7,6689.2
BE35,2017,40.2,5.5,23500.0,2950.8,2.6,316.8,135.0,165776.0,7.4,6911.8
BE35,2018,39.2,5.9,24100.0,3018.1,3.9,317.1,135.3,163883.0,8.5,7188.6
BE35,2019,37.7,5.9,24500.0,3001.8,5.7,317.4,135.9,192912.0,7.0,7322.6
BG31,2014,20.6,1.8,8100.0,578.02,-5.0,499.8,43.1,28371.0,14.2,1131.45
BG31,2015,21.5,1.5,8100.0,753.32,-4.9,487.6,42.5,28608.0,12.1,1188.27
BG31,2016,19.9,2.2,8500.0,458.22,-6.7,475.1,41.2,29380.0,10.6,1239.44
BG31,2017,19.9,2.3,9200.0,475.96,-5.5,464.0,40.5,33097.0,11.3,1362.05
BG31,2018,20.6,2.1,10200.0,570.54,-6.0,452.6,39.8,31706.0,11.2,1505.46
BG31,2019,19.2,1.7,10100.0,549.07,-6.6,442.3,39.0,35939.0,10.8,1616.31
BG32,2014,22.7,1.6,9100.0,594.19,-3.7,544.2,56.5,79698.0,13.2,1378.4
BG32,2015,23.5,2.3,9200.0,958.69,-3.3,532.1,57.0,81816.0,10.6,1449.87
BG32,2016,24.4,1.7,9600.0,547.0,-3.6,521.3,55.3,87248.0,9.3,1549.4
BG32,2017,23.0,1.3,10100.0,589.93,-3.3,511.4,54.6,98153.0,6.9,1702.9
BG32,2018,25.2,2.4,10700.0,758.12,-3.6,501.2,53.9,119022.0,6.7,1843.34
BG32,2019,26.9,2.9,11100.0,752.87,-3.6,491.2,53.1,130984.0,5.1,2006.74
